year,cultivar,block,variable
nineteen,HVC,1,14.33333333
nineteen,HVC,2,23.33333333
nineteen,Puget,1,2.333333333
nineteen,Puget,2,3.333333333
nineteen,Campfield,1,
nineteen,Campfield,2,4
nineteen,Tom,1,10
nineteen,Tom,2,10
nineteen,Brown,1,
nineteen,Brown,2,56.66666667
nineteen,COL,1,
nineteen,COL,2,51.66666667
nineteen,Golden,1,5
nineteen,Golden,2,1.666666667
nineteen,Harrison,1,52.33333333
nineteen,Harrison,2,4.333333333
twenty,HVC,1,45.66666667
twenty,HVC,2,65
twenty,Puget,1,17.33333333
twenty,Puget,2,99.33333333
twenty,Campfield,1,11.66666667
twenty,Campfield,2,21.66666667
twenty,Tom,1,25.33333333
twenty,Tom,2,24.66666667
twenty,Brown,1,45.33333333
twenty,Brown,2,92
twenty,COL,1,24
twenty,COL,2,25
twenty,Golden,1,3
twenty,Golden,2,18
twenty,Harrison,1,31
twenty,Harrison,2,15
